Nom,Prénoms,Date_de_naissance,Ville_de_naissance,Département_de_naissance,Pays,Régiment,Grade,Date_du_décès,Département_de_décès,Lieu_du_décès,Pays_de_décès,nomDptDécès
ABADIE,François René,1883-12-17,Toulouse,31,France,23e Infanterie,Caporal,24/07/1918,2,Oulchy-le-Château,France,Aisne 
ABADIE,Théodore,1895-12-28,Madière,9,France,21e Bataillon de chasseurs à pied,Soldat,20/12/1918,,Meschede,Germany,
ABADIE,Jean,1873-12-23,Toulouse,31,France,133e infanterie territoriale,Caporal,25/04/1916,68,Burnhaupt-le-Bas,France,Haut-Rhin 
ABADIE,Marius Jean,1887-02-28,Toulouse,31,France,151e Infanterie,Soldat,03/10/1918,54,Toul,France,Meurthe-et-Moselle 
ABADIE,Charles François Henri,1890-12-09,Paris,75,France,342e Artillerie coloniale,1er Canonnier Servant,08/01/1919,67,Wissembourg,France,Bas-Rhin 
ABADIE,Fernand,1896-10-13,Toulouse,31,France,403e Infanterie,Soldat,16/04/1917,2,,France,Aisne 
ABADIE,Henri,1898-11-02,Saint-Martory,31,France,301e Artillerie lourde,2e Canonnier,20/10/1918,51,Villers-en-Argonne,France,Marne 
ABADIE,Jean,1880-06-18,Toulouse,31,France,353e Infanterie,Caporal,08/07/1915,54,Montauville,France,Meurthe-et-Moselle 
ABADIE,Joseph Jean Baptiste,1883-03-21,Pézilla-du-Conflent,66,France,14e Infanterie,Soldat,27/06/1916,55,Verdun,France,Meuse 
ABBADIE,Émile Joseph Julien,1895-07-10,Toulouse,31,France,54e Infanterie,Caporal,30/12/1914,55,Verdun,France,Meuse 
ABEILLE,Benoît Charles,1898-05-10,Cenon,33,France,3e Marche de Zouaves,Caporal,16/04/1917,51,Cormicy,France,Marne 
ABEJEAN,Albert Jules Léon,1888-08-13,Bruxelles,,Belgium,24e Infanterie Coloniale,Soldat,25/10/1914,33,Arcachon,France,Gironde 
ABEL,Joseph Antoine,1882-07-26,Toulouse,31,France,96e Infanterie,Soldat,23/09/1914,54,Bernécourt,France,Meurthe-et-Moselle 
ABRESSENC,Étienne,1885-07-29,Colomiers,31,France,97e Infanterie,Soldat,18/03/1916,55,Vaux-devant-Damloup,France,Meuse 
ABRIBAT,Henri Cyprien Jules,1894-04-04,Bourgoin,38,France,3e Artillerie coloniale,2e Canonnier conducteur,29/09/1915,51,Sainte-Menehould,France,Marne 
AD,Jean Baptiste Guillaume,1883-12-17,Cambernard,31,France,10e Infanterie,Soldat,08/01/1919,13,Marseille,France,Bouches-du-Rhône 
ADDE,Jean Louis Pierre,1876-06-13,Toulouse,31,France,417e Infanterie,Soldat,13/10/1916,80,Chuignolles,France,Somme 
ADER,Philippe,1877-02-04,Toulouse,31,France,62e Bataillon de Chasseurs à pied,Soldat,11/11/1915,62,,France,Pas-de-Calais 
ADHER,Émile Roger Savin,1882-01-23,Pelleport,31,France,48e Infanterie,Soldat,11/08/1916,55,Fleury-devant-Douaumont,France,Meuse 
AGEDE,Auguste,1891-03-31,Toulouse,31,France,23e Infanterie coloniale,Caporal,10/05/1917,2,Leuilly-sous-Coucy,France,Aisne 
AILLERES,Nicolas,1873-04-22,Longages,31,France,19e Dragons,Soldat,25/12/1918,54,Nancy,France,Meurthe-et-Moselle 
AIME,François,1890-08-14,Toulouse,31,France,7e Infanterie,Soldat,27/08/1914,8,Angecourt,France,Ardennes 
AIME,Eugène,1888-03-06,Toulouse,31,France,14e Infanterie,Soldat,22/08/1914,,Anloy,Belgium,
AJAS-ROUGERAU,François,1890-02-25,Lamontjoie,47,France,23e Artillerie,Soldat,29/04/1918,59,Boeschepe,France,Nord 
ALAUZY,Henri,1894-07-27,Toulouse,31,France,14e Infanterie,Soldat,20/12/1914,51,Souain-Perthes-les Hurlus,France,Marne 
ALAZET,François,1882-06-25,Toulouse,31,France,14e Infanterie,Soldat,16/02/1915,51,Suippes,France,Marne 
ALBOUY,Gustave,1893-03-10,Graulhet,81,France,322e Infanterie,Soldat,30/10/1915,51,Souain-Perthes-les Hurlus,France,Marne 
ALCOUFFE,Alfred,1892-02-23,Béziers,34,France,1er Zouave,Soldat,13/09/1914,51,Prunay,France,Marne 
ALEXIS,Victor,1858-07-20,Le François,972,France,9e Artillerie,Chef d'escadron,07/01/1916,87,Limoges,France,Haute-Vienne 
ALGRIN,Pierre,1879-02-14,Cabannes,81,France,109e Artillerie lourde,Canonnier conducteur,13/12/1917,73,Saint-Michel-de-Maurienne,France,Savoie 
ALINE,Ernest,1897-06-01,Mirepoix,9,France,2e Groupe Aviation,Soldat,29/07/1918,51,,France,Marne 
ALLEGRE,Antonin Jean Marie,1888-04-11,Toulouse,31,France,59e Infanterie,Sergent,09/12/1914,51,Vienne-le-Château,France,Marne 
ALLEMAND,Frédéric,1896-06-16,Samatan,32,France,53e Infanterie,Caporal,19/04/1915,51,Souain-Perthes-les Hurlus,France,Marne 
ALLIENS,Léopold Gabriel,1890-09-05,Bordeaux,33,France,218e Artillerie,Maître pointeur,08/10/1914,55,Ranzières,France,Meuse 
ALLIERES,Gérôme,1885-08-01,Lavernoise-Lacasse,31,France,214e Infanterie,Soldat,15/01/1915,55,Verdun,France,Meuse 
